id,sentence
brown.23,"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' ."
brown.24,Ask jail deputies
brown.25,"On other matters , the jury recommended that : ( 1 )"
brown.26,"Four additional deputies be employed at the Fulton County Jail and `` a doctor , medical intern or extern be employed for night and weekend duty at the jail '' ."
brown.27,( 2 )
brown.28,Fulton legislators `` work with city officials to pass enabling legislation that will permit the establishment of a fair and equitable '' pension plan for city employes .
brown.29,"The jury praised the administration and operation of the Atlanta Police Department , the Fulton Tax Commissioner's Office , the Bellwood and Alpharetta prison farms , Grady Hospital and the Fulton Health Department ."
brown.30,"Mayor William B. Hartsfield filed suit for divorce from his wife , Pearl Williams Hartsfield , in Fulton Superior Court Friday ."
brown.31,His petition charged mental cruelty .
brown.32,"The couple was married Aug. 2 , 1913 ."
brown.33,"They have a son , William Berry Jr. , and a daughter , Mrs. J. M. Cheshire of Griffin ."
brown.34,Attorneys for the mayor said that an amicable property settlement has been agreed upon .
brown.35,The petition listed the mayor's occupation as `` attorney '' and his age as 71 .
brown.36,"It listed his wife's age as 74 and place of birth as Opelika , Ala. ."
brown.37,The petition said that the couple has not lived together as man and wife for more than a year .
brown.38,The Hartsfield home is at 637 E. Pelham Rd. Aj .
brown.39,Henry L. Bowden was listed on the petition as the mayor's attorney .
brown.40,"Hartsfield has been mayor of Atlanta , with exception of one brief interlude , since 1937 ."
brown.41,His political career goes back to his election to city council in 1923 .
brown.42,The mayor's present term of office expires Jan. 1 .
brown.43,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection ."
brown.44,"Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 governor's race , a top official said Wednesday ."
brown.45,"Robert Snodgrass , state GOP chairman , said a meeting held Tuesday night in Blue Ridge brought enthusiastic responses from the audience ."
brown.46,State Party Chairman James W. Dorsey added that enthusiasm was picking up for a state rally to be held Sept. 8 in Savannah at which newly elected Texas Sen. John Tower will be the featured speaker .
brown.47,"In the Blue Ridge meeting , the audience was warned that entering a candidate for governor would force it to take petitions out into voting precincts to obtain the signatures of registered voters ."
brown.48,"Despite the warning , there was a unanimous vote to enter a candidate , according to Republicans who attended ."
brown.49,"When the crowd was asked whether it wanted to wait one more term to make the race , it voted no -- and there were no dissents ."
brown.50,"The largest hurdle the Republicans would have to face is a state law which says that before making a first race , one of two alternative courses must be taken : 1"
brown.51,"Five per cent of the voters in each county must sign petitions requesting that the Republicans be allowed to place names of candidates on the general election ballot , or 2"
brown.52,The Republicans must hold a primary under the county unit system -- a system which the party opposes in its platform .
brown.53,"Sam Caldwell , State Highway Department public relations director , resigned Tuesday to work for Lt. Gov. Garland Byrd's campaign ."
brown.54,Caldwell's resignation had been expected for some time .
brown.55,"He will be succeeded by Rob Ledford of Gainesville , who has been an assistant more than three years ."
brown.56,"When the gubernatorial campaign starts , Caldwell is expected to become a campaign coordinator for Byrd ."
brown.57,The Georgia Legislature will wind up its 1961 session Monday and head for home -- where some of the highway bond money it approved will follow shortly .
brown.58,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made ."
brown.59,Gov. Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment .
brown.60,Vandiver likely will mention the $100 million highway bond issue approved earlier in the session as his first priority item .
brown.61,Construction bonds
brown.62,"Meanwhile , it was learned the State Highway Department is very near being ready to issue the first $30 million worth of highway reconstruction bonds ."
brown.63,"The bond issue will go to the state courts for a friendly test suit to test the validity of the act , and then the sales will begin and contracts let for repair work on some of Georgia's most heavily traveled highways ."
brown.64,A Highway Department source said there also is a plan there to issue some $3 million to $4 million worth of Rural Roads Authority bonds for rural road construction work .
brown.65,A revolving fund
brown.66,The department apparently intends to make the Rural Roads Authority a revolving fund under which new bonds would be issued every time a portion of the old ones are paid off by tax authorities .
brown.67,Vandiver opened his race for governor in 1958 with a battle in the Legislature against the issuance of $50 million worth of additional rural roads bonds proposed by then Gov. Marvin Griffin .
brown.68,"The Highway Department source told The Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds ."
brown.69,Schley County Rep. B. D. Pelham will offer a resolution Monday in the House to rescind the body's action of Friday in voting itself a $10 per day increase in expense allowances .
brown.70,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .
brown.71,"While emphasizing that technical details were not fully worked out , Pelham said his resolution would seek to set aside the privilege resolution which the House voted through 87-31 ."
brown.72,A similar resolution passed in the Senate by a vote of 29-5 .
brown.73,"As of Sunday night , there was no word of a resolution being offered there to rescind the action ."
brown.74,Pelham pointed out that Georgia voters last November rejected a constitutional amendment to allow legislators to vote on pay raises for future Legislature sessions .
brown.75,"A veteran Jackson County legislator will ask the Georgia House Monday to back federal aid to education , something it has consistently opposed in the past ."
brown.76,"Rep. Mac Barber of Commerce is asking the House in a privilege resolution to `` endorse increased federal support for public education , provided that such funds be received and expended '' as state funds ."
brown.77,"Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in Washington who would like to see it ( the resolution ) passed '' ."
brown.78,But he added that none of Georgia's congressmen specifically asked him to offer the resolution .
brown.79,"The resolution , which Barber tossed into the House hopper Friday , will be formally read Monday ."
brown.80,"It says that `` in the event Congress does provide this increase in federal funds '' , the State Board of Education should be directed to `` give priority '' to teacher pay raises ."
brown.81,Colquitt
brown.82,"-- After a long , hot controversy , Miller County has a new school superintendent , elected , as a policeman put it , in the `` coolest election I ever saw in this county '' ."
brown.83,"The new school superintendent is Harry Davis , a veteran agriculture teacher , who defeated Felix Bush , a school principal and chairman of the Miller County Democratic Executive Committee ."
brown.84,"Davis received 1,119 votes in Saturday's election , and Bush got 402 ."
brown.85,"Ordinary Carey Williams , armed with a pistol , stood by at the polls to insure order ."
brown.86,"`` This was the coolest , calmest election I ever saw '' , Colquitt Policeman Tom Williams said ."
brown.87,`` Being at the polls was just like being at church .
brown.88,"I didn't smell a drop of liquor , and we didn't have a bit of trouble '' ."
brown.89,"The campaign leading to the election was not so quiet , however ."
brown.90,"It was marked by controversy , anonymous midnight phone calls and veiled threats of violence ."
brown.91,"The former county school superintendent , George P. Callan , shot himself to death March 18 , four days after he resigned his post in a dispute with the county school board ."
brown.92,"During the election campaign , both candidates , Davis and Bush , reportedly received anonymous telephone calls ."
brown.93,"Ordinary Williams said he , too , was subjected to anonymous calls soon after he scheduled the election ."
brown.94,"Many local citizens feared that there would be irregularities at the polls , and Williams got himself a permit to carry a gun and promised an orderly election ."
brown.95,Sheriff Felix Tabb said the ordinary apparently made good his promise .
brown.96,"`` Everything went real smooth '' , the sheriff said ."
brown.97,`` There wasn't a bit of trouble '' .
brown.98,"Austin , Texas"
brown.99,-- Committee approval of Gov. Price Daniel's `` abandoned property '' act seemed certain Thursday despite the adamant protests of Texas bankers .
brown.100,"Daniel personally led the fight for the measure , which he had watered down considerably since its rejection by two previous Legislatures , in a public hearing before the House Committee on Revenue and Taxation ."
brown.101,"Under committee rules , it went automatically to a subcommittee for one week ."
brown.102,But questions with which committee members taunted bankers appearing as witnesses left little doubt that they will recommend passage of it .
brown.103,Daniel termed `` extremely conservative '' his estimate that it would produce 17 million dollars to help erase an anticipated deficit of 63 million dollars at the end of the current fiscal year next Aug. 31 .
brown.104,He told the committee the measure would merely provide means of enforcing the escheat law which has been on the books `` since Texas was a republic '' .
brown.105,"It permits the state to take over bank accounts , stocks and other personal property of persons missing for seven years or more ."
brown.106,"The bill , which Daniel said he drafted personally , would force banks , insurance firms , pipeline companies and other corporations to report such property to the state treasurer ."
brown.107,"The escheat law cannot be enforced now because it is almost impossible to locate such property , Daniel declared ."
brown.108,"Dewey Lawrence , a Tyler lawyer representing the Texas Bankers Association , sounded the opposition keynote when he said it would force banks to violate their contractual obligations with depositors and undermine the confidence of bank customers ."
brown.109,"`` If you destroy confidence in banks , you do something to the economy '' , he said ."
brown.110,`` You take out of circulation many millions of dollars '' .
brown.111,"Rep. Charles E. Hughes of Sherman , sponsor of the bill , said a failure to enact it would amount `` to making a gift out of the taxpayers' pockets to banks , insurance and pipeline companies '' ."
brown.112,"His contention was denied by several bankers , including Scott Hudson of Sherman , Gaynor B. Jones of Houston , J. B. Brady of Harlingen and Howard Cox of Austin ."
brown.113,"Cox argued that the bill is `` probably unconstitutional '' since , he said , it would impair contracts ."
brown.114,"He also complained that not enough notice was given on the hearing , since the bill was introduced only last Monday ."
brown.115,"Austin , Texas"
brown.116,-- Senators unanimously approved Thursday the bill of Sen. George Parkhouse of Dallas authorizing establishment of day schools for the deaf in Dallas and the four other largest counties .
brown.117,The bill is designed to provide special schooling for more deaf students in the scholastic age at a reduced cost to the state .
brown.118,There was no debate as the Senate passed the bill on to the House .
brown.119,"It would authorize the Texas Education Agency to establish county-wide day schools for the deaf in counties of 300,000 or more population , require deaf children between 6 and 13 years of age to attend the day schools , permitting older ones to attend the residential Texas School for the Deaf here ."
brown.120,"Operating budget for the day schools in the five counties of Dallas , Harris , Bexar , Tarrant and El Paso would be $451,500 , which would be a savings of $157,460 yearly after the first year's capital outlay of $88,000 was absorbed , Parkhouse told the Senate ."
brown.121,"The TEA estimated there would be 182 scholastics to attend the day school in Dallas County , saving them from coming to Austin to live in the state deaf school ."
brown.122,Dallas may get to hear a debate on horse race parimutuels soon between Reps. V. E. ( Red ) Berry and Joe Ratcliff .
brown.123,"While details are still to be worked out , Ratcliff said he expects to tell home folks in Dallas why he thinks Berry's proposed constitutional amendment should be rejected ."
brown.124,"`` We're getting more ' pro ' letters than ' con ' on horse race betting '' , said Ratcliff ."
brown.125,"`` But I believe if people were better informed on this question , most of them would oppose it also ."
brown.126,I'm willing to stake my political career on it '' .
brown.127,"Rep. Berry , an ex-gambler from San Antonio , got elected on his advocacy of betting on the ponies ."
brown.128,"A House committee which heard his local option proposal is expected to give it a favorable report , although the resolution faces hard sledding later ."
brown.129,"The house passed finally , and sent to the Senate , a bill extending the State Health Department's authority to give planning assistance to cities ."
brown.130,"The senate quickly whipped through its meager fare of House bills approved by committees , passing the three on the calendar ."
brown.131,One validated acts of school districts .
brown.132,Another enlarged authority of the Beaumont Navigation District .
brown.133,"The third amended the enabling act for creation of the Lamar county Hospital District , for which a special constitutional amendment previously was adopted ."
brown.134,"Without dissent , senators passed a bill by Sen. A. R. Schwartz of Galveston authorizing establishment in the future of a school for the mentally retarded in the Gulf Coast district ."
brown.135,Money for its construction will be sought later on but in the meantime the State Hospital board can accept gifts and donations of a site .
brown.136,Two tax revision bills were passed .
brown.137,"One , by Sen. Louis Crump of San Saba , would aid more than 17,000 retailers who pay a group of miscellaneous excise taxes by eliminating the requirement that each return be notarized ."
brown.138,"Instead , retailers would sign a certificate of correctness , violation of which would carry a penalty of one to five years in prison , plus a $1,000 fine ."
brown.139,It was one of a series of recommendations by the Texas Research League .
brown.140,"The other bill , by Sen. A. M. Aikin Jr. of Paris , would relieve real estate brokers , who pay their own annual licensing fee , from the $12 annual occupation license on brokers in such as stocks and bonds ."
brown.141,"Natural gas public utility companies would be given the right of eminent domain , under a bill by Sen. Frank Owen 3 , of El Paso , to acquire sites for underground storage reservoirs for gas ."
brown.142,"Marshall Formby of Plainview , former chairman of the Texas Highway Commission , suggested a plan to fill by appointment future vacancies in the Legislature and Congress , eliminating the need for costly special elections ."
brown.143,"Under Formby's plan , an appointee would be selected by a board composed of the governor , lieutenant governor , speaker of the House , attorney general and chief justice of the Texas Supreme Court ."
brown.144,"Austin , Texas"
brown.145,-- State representatives decided Thursday against taking a poll on what kind of taxes Texans would prefer to pay .
brown.146,"An adverse vote of 81 to 65 kept in the State Affairs Committee a bill which would order the referendum on the April 4 ballot , when Texas votes on a U.S. senator ."
brown.147,"Rep. Wesley Roberts of Seminole , sponsor of the poll idea , said that further delay in the committee can kill the bill ."
brown.148,The West Texan reported that he had finally gotten Chairman Bill Hollowell of the committee to set it for public hearing on Feb. 22 .
brown.149,"The proposal would have to receive final legislative approval , by two-thirds majorities , before March 1 to be printed on the April 4 ballot , Roberts said ."
brown.150,Opponents generally argued that the ballot couldn't give enough information about tax proposals for the voters to make an intelligent choice .
brown.151,"All Dallas members voted with Roberts , except Rep. Bill Jones , who was absent ."
brown.152,"Austin , Texas"
brown.153,-- Paradise lost to the alleged water needs of Texas' big cities Thursday .
brown.154,"Rep. James Cotten of Weatherford insisted that a water development bill passed by the Texas House of Representatives was an effort by big cities like Dallas and Fort Worth to cover up places like Paradise , a Wise County hamlet of 250 people ."
brown.155,"When the shouting ended , the bill passed , 114 to 4 , sending it to the Senate , where a similar proposal is being sponsored by Sen. George Parkhouse of Dallas ."
brown.156,Most of the fire was directed by Cotten against Dallas and Sen. Parkhouse .
brown.157,"The bill would increase from $5,000,000 to $15,000,000 the maximum loan the state could make to a local water project ."
brown.158,Cotten construed this as a veiled effort by Parkhouse to help Dallas and other large cities get money which Cotten felt could better be spent providing water for rural Texas .
brown.159,"Statements by other legislators that Dallas is paying for all its water program by local bonds , and that less populous places would benefit most by the pending bill , did not sway Cotten's attack ."
brown.160,"The bill's defenders were mostly small-town legislators like J. W. Buchanan of Dumas , Eligio ( Kika ) De La Garza of Mission , Sam F. Collins of Newton and Joe Chapman of Sulphur Springs ."
brown.161,"`` This is a poor boy's bill '' , said Chapman ."
brown.162,`` Dallas and Fort Worth can vote bonds .
brown.163,This would help the little peanut districts '' .
brown.164,"Austin , Texas"
brown.165,"-- A Houston teacher , now serving in the Legislature , proposed Thursday a law reducing the time spent learning `` educational methods '' ."
brown.166,"Rep. Henry C. Grover , who teaches history in the Houston public schools , would reduce from 24 to 12 semester hours the so-called `` teaching methods '' courses required to obtain a junior or senior high school teaching certificate ."
brown.167,A normal year's work in college is 30 semester hours .
brown.168,Grover also would require junior-senior high teachers to have at least 24 semester hours credit in the subject they are teaching .
brown.169,The remainder of the 4-year college requirement would be in general subjects .
brown.170,"`` A person with a master's degree in physics , chemistry , math or English , yet who has not taken Education courses , is not permitted to teach in the public schools '' , said Grover ."
brown.171,College teachers in Texas are not required to have the Education courses .
brown.172,Fifty-three of the 150 representatives immediately joined Grover as co-signers of the proposal .
brown.173,"Paris , Texas ( sp. )"
brown.174,"-- The board of regents of Paris Junior College has named Dr. Clarence Charles Clark of Hays , Kan. as the school's new president ."
brown.175,"Dr. Clark will succeed Dr. J. R. McLemore , who will retire at the close of the present school term ."
brown.176,Dr. Clark holds an earned Doctor of Education degree from the University of Oklahoma .
brown.177,"He also received a Master of Science degree from Texas A & I College and a Bachelor of Science degree from Southwestern State College , Weatherford , Okla. ."
brown.178,"In addition , Dr. Clark has studied at Rhode Island State College and Massachusetts Institute of Technology ."
brown.179,"During his college career , Dr. Clark was captain of his basketball team and was a football letterman ."
brown.180,"Dr. Clark has served as teacher and principal in Oklahoma high schools , as teacher and athletic director at Raymondville , Texas , High School , as an instructor at the University of Oklahoma , and as an associate professor of education at Fort Hays , Kan. , State College ."
brown.181,He has served as a border patrolman and was in the Signal Corps of the U.S. Army .
brown.182,"Denton , Texas ( sp. )"
brown.183,-- Principals of the 13 schools in the Denton Independent School District have been re-elected for the 1961-62 session upon the recommendation of Supt. Chester O. Strickland .
brown.184,State and federal legislation against racial discrimination in employment was called for yesterday in a report of a `` blue ribbon '' citizens committee on the aid to dependent children program .
brown.185,"The report , culminating a year long study of the ADC program in Cook county by a New York City welfare consulting firm , listed 10 long range recommendations designed to reduce the soaring ADC case load ."
brown.186,"The report called racial discrimination in employment `` one of the most serious causes of family breakdown , desertion , and ADC dependency '' ."
brown.187,`` Must solve problem ''
brown.188,"The monthly cost of ADC to more than 100,000 recipients in the county is 4.4 million dollars , said C. Virgil Martin , president of Carson Pirie Scott & Co. , committee chairman ."
brown.189,"`` We must solve the problems which have forced these people to depend upon ADC for subsistence '' , Martin said ."
brown.190,"The volume of ADC cases will decrease , Martin reported , when the community is able to deal effectively with two problems : Relatively limited skills and discrimination in employment because of color ."
brown.191,"These , he said , are `` two of the principal underlying causes for family breakups leading to ADC '' ."
brown.192,Calls for extension
brown.193,Other recommendations made by the committee are :
brown.194,"Extension of the ADC program to all children in need living with any relatives , including both parents , as a means of preserving family unity ."
brown.195,Research projects as soon as possible on the causes and prevention of dependency and illegitimacy .
brown.196,"Several defendants in the Summerdale police burglary trial made statements indicating their guilt at the time of their arrest , Judge James B. Parsons was told in Criminal court yesterday ."
brown.197,"The disclosure by Charles Bellows , chief defense counsel , startled observers and was viewed as the prelude to a quarrel between the six attorneys representing the eight former policemen now on trial ."
brown.198,"Bellows made the disclosure when he asked Judge Parsons to grant his client , Alan Clements , 30 , a separate trial ."
brown.199,Bellows made the request while the all-woman jury was out of the courtroom .
brown.200,Fears prejudicial aspects
brown.201,"`` The statements may be highly prejudicial to my client '' , Bellows told the court ."
brown.202,`` Some of the defendants strongly indicated they knew they were receiving stolen property .
brown.203,It is impossible to get a fair trial when some of the defendants made statements involving themselves and others '' .
brown.204,"Judge Parsons leaned over the bench and inquired , `` You mean some of the defendants made statements admitting this '' ? ?"
brown.205,"`` Yes , your honor '' , replied Bellows ."
brown.206,"`` What this amounts to , if true , is that there will be a free-for-all fight in this case ."
brown.207,There is a conflict among the defendants '' .
brown.208,"Washington , July 24"
brown.209,-- President Kennedy today pushed aside other White House business to devote all his time and attention to working on the Berlin crisis address he will deliver tomorrow night to the American people over nationwide television and radio .
brown.210,The President spent much of the week-end at his summer home on Cape Cod writing the first drafts of portions of the address with the help of White House aids in Washington with whom he talked by telephone .
brown.211,"Shortly after the Chief Executive returned to Washington in midmorning from Hyannis Port , Mass. , a White House spokesman said the address text still had `` quite a way to go '' toward completion ."
brown.212,Decisions are made
brown.213,"Asked to elaborate , Pierre Salinger , White House press secretary , replied , `` I would say it's got to go thru several more drafts '' ."
brown.214,"Salinger said the work President Kennedy , advisers , and members of his staff were doing on the address involved composition and wording , rather than last minute decisions on administration plans to meet the latest Berlin crisis precipitated by Russia's demands and proposals for the city ."
brown.215,"The last 10 cases in the investigation of the Nov. 8 election were dismissed yesterday by Acting Judge John M. Karns , who charged that the prosecution obtained evidence `` by unfair and fundamentally illegal means '' ."
brown.216,Karns said that the cases involved a matter `` of even greater significance than the guilt or innocence '' of the 50 persons .
brown.217,He said evidence was obtained `` in violation of the legal rights of citizens '' .
brown.218,Karns' ruling pertained to eight of the 10 cases .
brown.219,In the two other cases he ruled that the state had been `` unable to make a case '' .
brown.220,"Contempt proceedings originally had been brought against 677 persons in 133 precincts by Morris J. Wexler , special prosecutor ."
brown.221,Issue jury subpoenas
brown.222,"Wexler admitted in earlier court hearings that he issued grand jury subpenas to about 200 persons involved in the election investigation , questioned the individuals in the Criminal courts building , but did not take them before the grand jury ."
brown.223,"Mayer Goldberg , attorney for election judges in the 58th precinct of the 23d ward , argued this procedure constituted intimidation ."
brown.224,Wexler has denied repeatedly that coercion was used in questioning .
brown.225,Karns said it was a `` wrongful act '' for Wexler to take statements `` privately and outside of the grand jury room '' .
brown.226,He said this constituted a `` very serious misuse '' of the Criminal court processes .
brown.227,"`` Actually , the abuse of the process may have constituted a contempt of the Criminal court of Cook county , altho vindication of the authority of that court is not the function of this court '' , said Karns , who is a City judge in East St. Louis sitting in Cook County court ."
brown.228,Faced seven cases
brown.229,Karns had been scheduled this week to hear seven cases involving 35 persons .
brown.230,"Wexler had charged the precinct judges in these cases with `` complementary '' miscount of the vote , in which votes would be taken from one candidate and given to another ."
brown.231,"The cases involved judges in the 33d , 24th , and 42d precincts of the 31st ward , the 21st and 28th precincts of the 29th ward , the 18th precinct of the 4th ward , and the 9th precinct of the 23d ward ."
brown.232,The case of the judges in the 58th precinct of the 23d ward had been heard previously and taken under advisement by Karns .
brown.233,Two other cases also were under advisement .
brown.234,Claims precedent lacking
brown.235,"After reading his statement discharging the 23d ward case , Karns told Wexler that if the seven cases scheduled for trial also involved persons who had been subpenaed , he would dismiss them ."
brown.236,"Washington , Feb. 9"
brown.237,-- President Kennedy today proposed a mammoth new medical care program whereby social security taxes on 70 million American workers would be raised to pay the hospital and some other medical bills of 14.2 million Americans over 65 who are covered by social security or railroad retirement programs .
brown.238,"The President , in a special message to Congress , tied in with his aged care plan requests for large federal grants to finance medical and dental scholarships , build 20 new medical and 20 new dental schools , and expand child health care and general medical research ."
brown.239,"The aged care plan , similar to one the President sponsored last year as a senator , a fight on Capitol hill ."
brown.240,It was defeated in Congress last year .
brown.241,Cost up to $37 a year
brown.242,It would be financed by boosting the social security payroll tax by as much as $37 a year for each of the workers now paying such taxes .
brown.243,"The social security payroll tax is now 6 per cent -- 3 per cent on each worker and employer -- on the first $4,800 of pay per year ."
brown.244,"The Kennedy plan alone would boost the base to $5,000 a year and the payroll tax to 6.5 per cent -- 3.25 per cent each ."
brown.245,Similar payroll tax boosts would be imposed on those under the railroad retirement system .
brown.246,"The payroll tax would actually rise to 7.5 per cent starting Jan. 1 , 1963 , if the plan is approved , because the levy is already scheduled to go up by 1 per cent on that date to pay for other social security costs ."
brown.247,Outlays would increase
brown.248,"Officials estimated the annual tax boost for the medical plan would amount to 1.5 billion dollars and that medical benefits paid out would run 1 billion or more in the first year , 1963 ."
brown.249,Both figures would go higher in later years .
brown.250,Other parts of the Kennedy health plan would entail federal grants of 750 million to 1 billion dollars over the next 10 years .
brown.251,"These would be paid for out of general , not payroll , taxes ."
brown.252,Nursing home care
brown.253,The aged care plan carries these benefits for persons over 65 who are under the social security and railroad retirement systems : 1
brown.254,"Full payment of hospital bills for stays up to 90 days for each illness , except that the patient would pay $10 a day of the cost for the first nine days ."
brown.255,2
brown.256,Full payment of nursing home bills for up to 180 days following discharge from a hospital .
brown.257,A patient could receive up to 300 days paid-for nursing home care under a `` unit formula '' allowing more of such care for those who use none or only part of the hospital-care credit .
brown.258,3
brown.259,Hospital outpatient clinic diagnostic service for all costs in excess of $20 a patient .
brown.260,4
brown.261,Community visiting nurse services at home for up to 240 days an illness .
brown.262,The President noted that Congress last year passed a law providing grants to states to help pay medical bills of the needy aged .
brown.263,Calls proposal modest
brown.264,"He said his plan is designed to `` meet the needs of those millions who have no wish to receive care at the taxpayers' expense , but who are nevertheless staggered by the drain on their savings -- or those of their children -- caused by an extended hospital stay '' ."
brown.265,"`` This is a very modest proposal cut to meet absolutely essential needs '' , he said , `` and with sufficient ' deductible ' requirements to discourage any malingering or unnecessary overcrowding of our hospitals ."
brown.266,`` This is not a program of socialized medicine .
brown.267,It is a program of prepayment of health costs with absolute freedom of choice guaranteed .
brown.268,Every person will choose his own doctor and hospital '' .
brown.269,Wouldn't pay doctors
brown.270,The plan does not cover doctor bills .
brown.271,They would still be paid by the patient .
brown.272,"Apart from the aged care plan the President's most ambitious and costly proposals were for federal scholarships , and grants to build or enlarge medical and dental schools ."
brown.273,The President said the nation's 92 medical and 47 dental schools cannot now handle the student load needed to meet the rising need for health care .
brown.274,"Moreover , he said , many qualified young people are not going into medicine and dentistry because they can't afford the schooling costs ."
brown.275,Contributions to schools
brown.276,"The scholarship plan would provide federal contributions to each medical and dental school equal to $1,500 a year for one-fourth of the first year students ."
brown.277,"The schools could use the money to pay 4-year scholarships , based on need , of up to $2,000 a year per student ."
brown.278,"In addition , the government would pay a $1,000 `` cost of education '' grant to the schools for each $1,500 in scholarship grants ."
brown.279,Officials estimated the combined programs would cost 5.1 million dollars the first year and would go up to 21 millions by 1966 .
brown.280,The President recommended federal `` matching grants '' totaling 700 million dollars in 10 years for constructing new medical and dental schools or enlarging the capacity of existing ones .
brown.281,More for nursing homes
brown.282,"In the area of `` community health services '' , the President called for doubling the present 10 million dollar a year federal grants for nursing home construction ."
brown.283,He asked for another 10 million dollar `` initial '' appropriation for `` stimulatory grants '' to states to improve nursing homes .
brown.284,He further proposed grants of an unspecified sum for experimental hospitals .
brown.285,"In the child health field , the President said he will recommend later an increase in funds for programs under the children's bureau ."
brown.286,He also asked Congress to approve establishment of a national child health institute .
brown.287,Asks research funds
brown.288,The President said he will ask Congress to increase grants to states for vocational rehabilitation .
brown.289,He did not say by how much .
brown.290,"For medical research he asked a 20 million dollar a year increase , from 30 to 50 millions , in matching grants for building research facilities ."
brown.291,"The President said he will also propose increasing , by an unspecified amount , the 540 million dollars in the 1961-62 budget for direct government research in medicine ."
brown.292,"The President said his proposals combine the `` indispensable elements in a sound health program -- people , knowledge , services , facilities , and the means to pay for them '' ."
brown.293,Reaction as expected
brown.294,Congressional reaction to the message was along expected lines .
brown.295,Legislators who last year opposed placing aged-care under the social security system criticized the President's plan .
brown.296,Those who backed a similar plan last year hailed the message .
brown.297,Senate Republican Leader Dirksen ( Ill. ) and House Republican Leader Charles Halleck ( Ind. ) said the message did not persuade them to change their opposition to compulsory medical insurance .
brown.298,Halleck said the voluntary care plan enacted last year should be given a fair trial first .
brown.299,"House Speaker Sam Rayburn ( D. , Tex. ) called the Kennedy program `` a mighty fine thing '' , but made no prediction on its fate in the House ."
brown.300,"Washington , Feb. 9"
brown.301,"-- Acting hastily under White House pressure , the Senate tonight confirmed Robert C. Weaver as the nation's federal housing chief ."
brown.302,Only 11 senators were on the floor and there was no record vote .
brown.303,A number of scattered `` ayes '' and `` noes '' was heard .
brown.304,Customary Senate rules were ignored in order to speed approval of the Negro leader as administrator of the housing and home finance agency .
