,token,RT,brown_bigram_surprisal,length,index
53,the,385.47126436781616,0.7050951719284058,3,53
54,long-bearded,462.6470588235295,4.602066040039063,12,54
55,mill,441.1976744186046,4.9688334465026855,4,55
56,owners.,476.86904761904754,4.371024131774902,7,56
57,That,480.5862068965517,2.1951191425323486,4,57
58,all,415.6896551724138,2.108670234680176,3,58
59,mill,439.0114942528736,5.302539825439453,4,59
60,owners,429.528735632184,4.371024131774902,6,60
61,were,381.52873563218384,2.1201977729797363,4,61
62,generally,387.1976744186046,3.079505681991577,9,62
63,busy,378.5402298850575,4.417424201965332,4,63
64,as,369.5119047619047,2.1132819652557373,2,64
65,beavers,388.7209302325581,6.3351898193359375,7,65
66,and,359.7906976744186,1.6883405447006226,3,66
67,quite,362.5057471264368,3.3859305381774902,5,67
68,pleased,385.73563218390814,4.526227474212647,7,68
69,with,343.93023255813955,0.6751905083656311,4,69
70,themselves,370.3793103448276,4.001572608947754,10,70
71,for,371.4705882352941,1.800095796585083,3,71
72,being,349.0581395348837,2.9094629287719727,5,72
73,so,339.4651162790698,2.2430789470672607,2,73
74,successful,345.9647058823529,3.0862696170806885,10,74
75,and,380.4767441860465,1.5415377616882324,3,75
76,well,362.9529411764706,3.205906867980957,4,76
77,off,361.2738095238095,3.7504849433898926,3,77
78,was,357.09195402298855,2.915714740753174,3,78
79,known,353.4137931034482,3.143527030944824,5,79
80,to,357.0232558139535,0.8924291729927063,2,80
81,the,344.45348837209303,0.8707906603813171,3,81
82,residents,381.8023255813954,4.974753856658936,9,82
83,of,365.5,0.8627843260765076,2,83
84,"Bradford,",388.9651162790698,5.055567741394043,9,84
85,and,399.6117647058824,1.8096036911010744,3,85
86,if,367.6309523809524,2.510725498199463,2,86
87,you,328.6860465116279,0.987995147705078,3,87
88,were,329.86206896551727,1.721557378768921,4,88
89,to,331.6046511627908,1.5749027729034424,2,89
90,go,315.4186046511628,2.1279187202453613,2,90
91,into,344.7931034482759,1.5706907510757446,4,91
92,the,332.2823529411765,0.4222069680690765,3,92
93,city,326.1294117647059,2.6573615074157715,4,93
94,to,319.58333333333337,1.7419319152832031,2,94
95,visit,319.0813953488372,2.926753282546997,5,95
96,the,330.9186046511628,0.9583316445350648,3,96
97,stately,370.7325581395349,5.932311534881592,7,97
98,City,393.6976744186046,3.724995851516724,4,98
99,"Hall,",385.62790697674416,1.9405403137207031,5,99
100,you,395.39080459770105,3.384280204772949,3,100
101,would,334.36781609195407,2.240639925003052,5,101
102,see,327.7931034482759,2.60884428024292,3,102
103,there,333.4418604651163,2.643416166305542,5,103
104,the,341.1162790697674,2.301716089248657,3,104
105,Crest,391.22988505747134,4.405706405639648,5,105
106,of,381.2441860465116,0.6529562473297119,2,106
107,the,333.6385542168675,0.5706213116645813,3,107
108,City,341.71428571428567,2.6573615074157715,4,108
109,of,353.95348837209303,1.1748508214950562,2,109
110,"Bradford,",357.9176470588235,5.055567741394043,9,110
111,which,387.5882352941177,2.6912097930908203,5,111
112,those,374.1529411764706,4.043087005615234,5,112
113,same,356.6352941176471,3.5288286209106445,4,113
114,mill,394.09195402298855,5.050876617431641,4,114
115,owners,350.5,4.371024131774902,6,115
116,created,380.05813953488376,4.332067012786865,7,116
117,to,360.8372093023256,1.7931194305419922,2,117
118,celebrate,371.52941176470586,4.216251850128174,9,118
119,their,342.9529411764706,2.988668441772461,5,119
120,achievements.,400.2619047619048,3.953664302825928,13,120
121,It,419.1860465116279,1.4451422691345217,2,121
122,shows,388.6206896551724,3.917248725891113,5,122
123,a,338.9080459770115,1.2918719053268433,1,123
124,sinister,380.2906976744186,3.936967611312866,8,124
125,looking,426.8837209302326,3.8143463134765625,7,125
126,boar's,407.5176470588235,6.093453884124756,6,126
127,head,406.3837209302325,3.650588989257813,4,127
128,sitting,424.83908045977006,4.659558296203613,7,128
129,on,356.8488372093024,0.8125256896018982,2,129
130,top,340.7441860465116,2.3561248779296875,3,130
131,of,349.91954022988506,0.5108432769775391,2,131
132,a,350.0459770114943,1.3818944692611694,1,132
133,well,343.13953488372096,3.507084846496582,4,133
134,which,375.6627906976744,3.2185311317443848,5,134
135,seems,423.2352941176471,2.7883753776550293,5,135
136,puzzling,425.9647058823529,5.485651969909668,8,136
137,at,375.2068965517241,2.4370362758636475,2,137
138,"first,",353.5176470588235,1.930420517921448,6,138
139,but,343.7441860465116,3.200423002243042,3,139
140,the,331.1046511627907,1.0454761981964111,3,140
141,reason,358.85057471264366,3.222769260406494,6,141
142,for,340.8735632183908,0.7198548913002014,3,142
143,this,341.31034482758616,1.7364517450332642,4,143
144,symbol,340.55813953488376,4.1789960861206055,6,144
145,is,348.8850574712644,1.314417839050293,2,145
146,a,328.15116279069764,1.062296748161316,1,146
147,matter,355.448275862069,2.4657936096191406,6,147
148,of,327.264367816092,0.5222764611244202,2,148
149,legend.,372.4117647058823,5.235715866088867,7,149
150,There,392.7241379310345,1.8309366703033447,5,150
151,was,364.2873563218391,0.6778467893600464,3,151
152,"once,",331.65517241379314,2.89595103263855,5,152
153,legend,342.896551724138,5.049895286560059,6,153
154,has,455.2873563218391,1.970249891281128,3,154
155,"it,",376.0229885057472,2.6568291187286377,3,155
156,a,358.20689655172407,2.264011144638061,1,156
157,fearsome,369.0459770114943,6.042497158050537,8,157
158,"boar,",369.9767441860465,5.602208137512207,5,158
159,which,375.0232558139536,2.6912097930908203,5,159
160,lived,363.3837209302326,4.6069655418396,5,160
161,in,324.90588235294115,0.5149379372596741,2,161
162,a,302.56976744186045,1.1738388538360596,1,162
163,wood,363.1976744186046,4.2412190437316895,4,163
164,located,357.76744186046506,4.375227928161621,7,164
165,just,424.87356321839087,3.5467967987060547,4,165
166,outside,342.74117647058824,2.37829327583313,7,166
167,the,323.74418604651163,0.7060376405715942,3,167
168,manor,350.36046511627904,4.840811252593994,5,168
169,of,353.33333333333337,1.931615710258484,2,169
170,Bradford.,407.0232558139536,5.055567741394043,9,170
171,A,391.6162790697674,1.6930721998214722,1,171
172,source,365.5348837209302,3.104814052581787,6,172
173,of,345.7931034482759,0.1745688468217849,2,173
174,great,333.8045977011494,2.997922658920288,5,174
175,trouble,358.3103448275862,4.191677570343018,7,175
176,to,338.4651162790698,1.9781283140182493,2,176
177,the,319.2093023255814,0.8707906603813171,3,177
178,local,308.9418604651163,2.9509265422821045,5,178
179,folk,307.4470588235294,4.48366641998291,4,179
180,the,336.04651162790697,2.174901008605957,3,180
181,boar,346.2352941176471,6.185148239135742,4,181
182,"was,",342.5529411764706,2.357372760772705,4,182
183,bringing,374.71428571428567,3.993866920471192,8,183
184,terror,374.5,4.726548671722412,6,184
185,to,347.42352941176466,1.783630609512329,2,185
186,the,320.5,0.8707906603813171,3,186
187,peaceful,332.15116279069764,5.176575183868408,8,187
188,flocks,336.86046511627904,5.685903549194336,6,188
189,and,329.51162790697674,1.8096036911010744,3,189
190,ravaging,341.6860465116279,6.180140495300293,8,190
191,the,359.86046511627904,2.011846780776977,3,191
192,countryside,397.1162790697675,4.610088348388672,11,192
193,around.,414.5476190476189,3.2820210456848145,7,193
194,Even,429.8048780487805,2.4797582626342773,4,194
195,"worse,",385.1309523809524,3.642642736434937,6,195
196,"however,",364.8255813953489,5.142938613891602,8,196
197,the,360.6511627906976,2.977401733398437,3,197
198,boar,324.4186046511628,6.185148239135742,4,198
199,most,337.5058823529412,3.46758246421814,4,199
200,liked,356.4767441860465,4.590192317962647,5,200
201,to,343.0232558139535,0.563165545463562,2,201
202,go,331.9651162790698,2.1279187202453613,2,202
203,to,309.56470588235294,0.7669937014579773,2,203
204,the,318.4186046511628,0.8707906603813171,3,204
205,well,323.89534883720927,3.875509262084961,4,205
206,that,349.56976744186045,2.294193744659424,4,206
207,was,338.2906976744186,1.7445528507232666,3,207
208,in,324.5232558139535,1.6662757396697998,2,208
209,the,300.65116279069764,0.5470973253250122,3,209
210,wood,311.79069767441854,3.8230056762695312,4,210
211,and,356.7093023255814,1.1404204368591309,3,211
212,drink,338.35714285714283,3.8423609733581534,5,212
213,its,352.45882352941175,3.366722345352173,3,213
214,fresh,326.78823529411767,4.496537685394287,5,214
215,"water,",324.37647058823524,2.4965384006500244,6,215
216,so,366.78823529411767,3.344241142272949,2,216
217,that,339.8139534883721,0.9194243550300598,4,217
218,the,313.45882352941175,0.8798593282699585,3,218
219,people,301.56626506024094,2.7075657844543457,6,219
220,of,331.0,1.2273495197296145,2,220
221,Bradford,313.9176470588235,5.055567741394043,8,221
222,had,318.92941176470583,2.611565351486206,3,222
223,second,353.87209302325584,4.580461025238037,6,223
224,thoughts,350.1647058823529,4.4279985427856445,8,224
225,about,335.3837209302326,3.173131227493286,5,225
226,visiting,337.67816091954023,4.806066989898682,8,226
227,the,319.4418604651163,0.975429117679596,3,227
228,well.,335.3139534883721,3.875509262084961,5,228
229,That,445.2093023255814,2.1951191425323486,4,229
230,the,350.47058823529414,0.8798593282699585,3,230
231,people,341.0,2.7075657844543457,6,231
232,of,335.54651162790697,1.2273495197296145,2,232
233,Bradford,319.52380952380946,5.055567741394043,8,233
234,bore,337.0813953488372,4.443722724914551,4,234
235,the,351.564705882353,1.3614742755889893,3,235
236,brunt,370.6588235294117,5.383559703826904,5,236
237,of,358.1162790697674,0.5928966999053955,2,237
238,the,336.2117647058824,0.5706213116645813,3,238
239,beast's,333.70238095238096,5.359157562255859,7,239
240,ferocity,382.6428571428572,5.466753959655762,8,240
241,was,402.2619047619047,2.357372760772705,3,241
242,unfair,386.8333333333333,4.49898099899292,6,242
243,in,343.4651162790698,2.084584474563598,2,243
244,the,314.95348837209303,0.5470973253250122,3,244
245,eyes,308.1529411764706,3.307570219039917,4,245
246,of,323.2906976744186,1.2223619222640991,2,246
247,the,312.7209302325581,0.5706213116645813,3,247
248,people,348.8255813953489,2.7075657844543457,6,248
249,of,325.2,1.2273495197296145,2,249
250,the,305.2352941176471,0.5706213116645813,3,250
251,region.,380.44705882352935,3.3844802379608154,7,251
252,"Eventually,",415.6627906976744,3.861320734024048,11,252
253,the,342.66279069767444,1.4382998943328855,3,253
254,issue,326.6860465116279,3.369335651397705,5,254
255,reached,341.36046511627904,2.7821907997131348,7,255
256,the,336.6627906976745,0.637222945690155,3,256
257,ears,346.62790697674416,4.2219343185424805,4,257
258,of,320.8488372093024,1.3265857696533203,2,258
259,the,307.40697674418607,0.5706213116645813,3,259
260,kindly,328.0,5.523044586181641,6,260
261,Lord,325.3255813953489,4.300953388214111,4,261
262,of,326.48837209302326,1.6137707233428955,2,262
263,the,302.01162790697674,0.5706213116645813,3,263
264,Manor,322.29069767441854,4.840811252593994,5,264
265,who,317.5813953488372,2.946690320968628,3,265
266,the,349.2674418604651,2.4109466075897217,3,266
267,people,327.36046511627904,2.7075657844543457,6,267
268,had,334.8941176470588,2.4049184322357178,3,268
269,often,321.0348837209302,3.629744291305542,5,269
270,asked,326.1046511627907,3.805671215057373,5,270
271,for,317.8837209302326,1.163996696472168,3,271
272,help.,310.5348837209302,2.8613698482513428,5,272
273,The,334.95348837209303,0.9189621806144714,3,273
274,Lord,323.5813953488372,3.3468117713928223,4,274
275,saw,311.0813953488372,4.03161096572876,3,275
276,the,322.4418604651163,0.7427190542221069,3,276
277,severity,334.8352941176471,5.291751861572266,8,277
278,of,340.0352941176471,0.4902673363685608,2,278
279,the,317.5764705882353,0.5706213116645813,3,279
280,problem,324.74117647058824,2.7620856761932373,7,280
281,the,310.2,2.6562986373901367,3,281
282,people,330.5232558139535,2.7075657844543457,6,282
283,faced,317.2674418604651,4.676347732543945,5,283
284,and,327.2209302325581,1.89420223236084,3,284
285,suggested,325.06976744186045,4.1631760597229,9,285
286,a,348.59302325581393,2.3706533908843994,1,286
287,contest,331.53488372093017,4.286815643310547,7,287
288,could,328.54117647058825,3.1875741481781006,5,288
289,solve,332.6,5.335115909576416,5,289
290,the,295.4642857142857,0.4769234955310821,3,290
291,problem.,308.2470588235294,2.7620856761932373,8,291
292,He,331.8705882352941,1.2823857069015503,2,292
293,said,315.7529411764706,1.354513168334961,4,293
294,that,313.47058823529414,1.266290307044983,4,294
295,whoever,306.6117647058824,5.7873077392578125,7,295
296,could,338.47058823529414,3.1563916206359863,5,296
297,kill,308.45348837209303,3.0020222663879395,4,297
298,the,310.8372093023256,1.1213648319244385,3,298
299,boar,297.82352941176475,6.185148239135742,4,299
300,and,303.64705882352945,1.8096036911010744,3,300
301,bring,286.7294117647059,3.5946969985961914,5,301
302,as,288.52941176470586,2.669105052947998,2,302
303,proof,331.6117647058824,3.869382619857788,5,303
304,its,340.7294117647059,3.3493857383728027,3,304
305,head,300.5529411764706,2.5686655044555664,4,305
306,to,300.0235294117647,1.6849629878997805,2,306
307,the,294.4470588235294,0.8707906603813171,3,307
308,Manor,320.7647058823529,4.840811252593994,5,308
309,House,316.90588235294115,1.309515357017517,5,309
310,would,328.8809523809524,2.497328758239746,5,310
311,be,317.33333333333337,0.651138961315155,2,311
312,rewarded,321.4285714285714,5.766692161560059,8,312
313,with,305.49411764705883,1.065681219100952,4,313
314,land,314.09411764705885,4.303670406341553,4,314
315,and,328.32142857142856,1.057138204574585,3,315
316,fame.,335.9761904761905,5.021502494812012,5,316
317,It,318.2261904761905,1.4451422691345217,2,317
318,was,329.3294117647059,0.8285530209541321,3,318
319,the,316.2705882352941,1.2514004707336426,3,319
320,people,309.5301204819277,2.7075657844543457,6,320
321,of,316.0722891566265,1.2273495197296145,2,321
322,Bradford,328.90361445783134,5.055567741394043,8,322
323,and,324.0,1.8096036911010744,3,323
324,the,331.0352941176471,1.09398090839386,3,324
325,people,293.82142857142856,2.7075657844543457,6,325
326,who,299.86746987951807,1.1435949802398682,3,326
327,knew,332.90588235294115,2.2476608753204346,4,327
328,them,340.2823529411765,3.013284683227539,4,328
329,who,318.54651162790697,3.087240695953369,3,329
330,rejoiced,361.98823529411766,6.031327724456787,8,330
331,at,347.77647058823527,2.41016173362732,2,331
332,this,325.19047619047626,1.609329104423523,4,332
333,proclamation,367.22352941176473,5.1842145919799805,12,333
334,but,365.7058823529412,3.132692813873291,3,334
335,one,356.18823529411765,2.088494777679444,3,335
336,question,349.3809523809524,3.4938251972198486,8,336
337,remained:,381.2705882352941,4.4142584800720215,9,337
338,who,383.3452380952381,3.0750892162323,3,338
339,would,331.78823529411767,1.6046006679534912,5,339
340,kill,317.9176470588235,3.465465784072876,4,340
341,the,317.4117647058823,1.1213648319244385,3,341
342,boar?,295.1058823529412,6.185148239135742,5,342
343,By,324.3058823529412,2.410435199737549,2,343
344,the,309.3529411764706,0.5911795496940613,3,344
345,handsome,331.38823529411764,4.344485282897949,8,345
346,reward,355.4823529411765,4.717246055603027,6,346
347,many,399.8,3.543844223022461,4,347
348,felt,416.5529411764706,3.987959623336792,4,348
349,"tempted,",368.12941176470594,5.291018486022949,8,349
350,but,354.0352941176471,3.360153913497925,3,350
351,the,340.9176470588235,1.0454761981964111,3,351
352,thought,354.75,3.5494956970214844,7,352
353,of,305.20238095238096,0.8720256090164185,2,353
354,the,306.8588235294118,0.5706213116645813,3,354
355,boar,306.5952380952381,6.185148239135742,4,355
356,with,326.8352941176471,2.32276463508606,4,356
357,its,320.88235294117646,1.9109526872634888,3,357
358,deadly,312.9404761904762,4.923806190490723,6,358
359,tusks,312.6,5.361259460449219,5,359
360,and,328.23809523809524,1.8096036911010744,3,360
361,face,316.23809523809524,3.924346923828125,4,361
362,like,306.58333333333337,3.026124954223633,4,362
363,thunder,326.8095238095238,5.374798774719238,7,363
364,soon,325.1058823529412,3.920589208602905,4,364
365,put,331.6117647058824,2.872342824935913,3,365
366,an,312.42857142857144,1.8819979429244995,2,366
367,end,293.29411764705884,2.1614394187927246,3,367
368,to,292.3294117647059,1.3716199398040771,2,368
369,their,285.8705882352941,2.2444405555725098,5,369
370,ambitions.,341.81176470588235,4.85558557510376,10,370
371,"However,",400.8928571428572,2.5187008380889893,8,371
372,there,374.74698795180734,4.193705558776856,5,372
373,was,343.4285714285714,0.6778467893600464,3,373
374,one,316.0,2.084134817123413,3,374
375,"huntsman,",361.1647058823529,6.231908798217773,9,375
376,who,386.1882352941176,2.825427293777466,3,376
377,was,322.11764705882354,1.2724710702896118,3,377
378,still,297.6,1.9803062677383425,5,378
379,wet,308.5714285714286,3.473061800003052,3,379
380,behind,344.03571428571433,3.5690104961395264,6,380
381,the,312.75,0.6177595257759094,3,381
382,"ears,",298.67857142857144,4.2219343185424805,5,382
383,who,318.2823529411765,3.2525007724761963,3,383
384,decided,317.3764705882353,4.337220191955566,7,384
385,the,293.8452380952381,2.068206548690796,3,385
386,prize,302.0,4.357866287231445,5,386
387,was,304.9759036144578,1.4725654125213623,3,387
388,worth,300.28571428571433,3.155609369277954,5,388
389,a,308.83333333333337,1.5215290784835815,1,389
390,"shot,",305.3855421686747,3.3840930461883545,5,390
391,in,315.4938271604939,1.339123010635376,2,391
392,spite,333.2117647058824,2.6083824634552,5,392
393,of,294.2352941176471,0.0352970212697982,2,393
394,the,293.17073170731703,0.5706213116645813,3,394
395,boar's,299.6506024096385,6.3352131843566895,6,395
396,reputation.,325.66666666666663,4.416452407836914,11,396
397,The,362.34939759036143,0.9189621806144714,3,397
398,huntsman,383.9047619047619,6.3352131843566895,8,398
399,discovered,353.32142857142856,4.109613418579102,10,399
400,the,333.64705882352945,1.4021583795547483,3,400
401,boar,337.8705882352941,6.185148239135742,4,401
402,preferred,351.02380952380946,4.512242317199707,9,402
403,to,337.82926829268297,0.6556717157363892,2,403
404,come,323.4404761904762,2.4401278495788574,4,404
405,out,305.84337349397595,1.3252432346343994,3,405
406,in,302.32142857142856,1.3516360521316528,2,406
407,the,293.04761904761904,0.5470973253250122,3,407
408,middle,299.43529411764706,2.889267683029175,6,408
409,of,297.5119047619047,0.5653542280197144,2,409
410,the,284.2619047619048,0.5706213116645813,3,410
411,day.,305.6823529411764,2.7366044521331787,4,411
412,So,349.2261904761905,2.4037768840789795,2,412
413,he,321.1309523809524,1.657320857048035,2,413
414,went,321.925,2.044553518295288,4,414
415,to,274.0,0.6343594193458557,2,415
416,the,280.9166666666667,0.8707906603813171,3,416
417,wood,292.4404761904762,3.8230056762695312,4,417
418,by,303.33333333333337,2.5616321563720703,2,418
419,the,300.67857142857144,0.5911795496940613,3,419
420,well,291.9529411764706,3.875509262084961,4,420
421,with,310.56626506024094,2.084273099899292,4,421
422,his,314.0,1.4923139810562134,3,422
423,good,319.7058823529412,3.1813161373138428,4,423
424,"bow,",350.9759036144578,4.996273040771484,4,424
425,to,344.5595238095238,1.5973782539367676,2,425
426,bide,349.4117647058823,5.007413387298584,4,426
427,his,370.83132530120486,2.6560616493225098,3,427
428,time.,342.33734939759034,2.7657158374786377,5,428
429,Around,356.79761904761904,3.84533953666687,6,429
430,"noontime,",354.2470588235294,6.149966716766357,9,430
431,the,360.4642857142857,2.13310980796814,3,431
432,"boar,",322.8352941176471,6.185148239135742,5,432
433,feared,317.2,4.693883895874023,6,433
434,by,329.36046511627904,1.6803340911865234,2,434
435,the,337.16279069767444,0.5911795496940613,3,435
436,"locals,",304.3488372093024,6.3352131843566895,7,436
437,came,346.6235294117647,3.1308155059814453,4,437
438,"out,",326.5882352941177,1.1939862966537476,4,438
439,as,309.0235294117647,2.2480313777923584,2,439
440,slow,319.7176470588235,4.813793182373047,4,440
441,as,317.9268292682927,2.550746440887451,2,441
442,a,297.9390243902439,0.8669105768203735,1,442
443,"snail,",360.8941176470588,6.042497158050537,6,443
444,from,352.63529411764705,2.473649024963379,4,444
445,among,340.9764705882353,3.3117616176605225,5,445
446,the,331.0823529411765,0.3393264412879944,3,446
447,"trees,",309.15294117647056,3.3251760005950928,6,447
448,just,317.7294117647059,3.7067677974700928,4,448
449,as,324.9156626506024,0.8500888347625732,2,449
450,the,320.2619047619048,0.9791895747184752,3,450
451,huntsman,321.6470588235294,6.3352131843566895,8,451
452,had,333.2117647058824,2.490302324295044,3,452
453,predicted.,344.0722891566265,3.507287740707397,10,453
454,The,404.2380952380952,0.9189621806144714,3,454
455,huntsman,365.0,6.3352131843566895,8,455
456,leaped,323.3095238095238,4.416452407836914,6,456
457,from,339.96428571428567,0.8829078674316406,4,457
458,his,322.1411764705883,1.4823440313339231,3,458
459,hiding,313.3764705882353,3.8539345264434814,6,459
460,place,314.26506024096386,1.0331703424453735,5,460
461,and,309.08641975308643,1.779505729675293,3,461
462,through,316.45882352941175,3.04433274269104,7,462
463,the,334.04651162790697,0.4189999103546142,3,463
464,heart,363.1860465116279,3.0591537952423096,5,464
465,with,388.1411764705883,2.452531576156616,4,465
466,his,367.3176470588236,1.4923139810562134,3,466
467,fine,343.4470588235294,3.736408948898315,4,467
468,arrows,342.45238095238096,5.251627445220947,6,468
469,shot,356.7738095238095,3.9615514278411865,4,469
470,the,351.4096385542169,2.180340051651001,3,470
471,boar.,364.3614457831326,6.185148239135742,5,471
472,Now,387.1927710843373,2.3906567096710205,3,472
473,the,332.7738095238095,1.4516823291778564,3,473
474,problem,325.6823529411765,2.7620856761932373,7,474
475,was,308.6428571428572,1.7980067729949951,3,475
476,no,318.45882352941175,1.7335057258605957,2,476
477,longer,310.2261904761905,1.27108895778656,6,477
478,to,331.7529411764706,1.5287625789642334,2,478
479,kill,325.2261904761905,2.9288887977600098,4,479
480,the,305.35714285714283,1.1213648319244385,3,480
481,boar.,315.3855421686747,6.185148239135742,5,481
482,It,338.132530120482,1.4451422691345217,2,482
483,was,310.16666666666663,0.8285530209541321,3,483
484,to,306.5058823529412,1.6391608715057373,2,484
485,find,313.7951807228916,2.283087015151977,4,485
486,a,329.8072289156627,0.9570662379264832,1,486
487,way,308.03571428571433,2.572360754013061,3,487
488,to,291.65882352941173,0.7974207401275635,2,488
489,carry,304.52941176470586,2.817083835601806,5,489
490,the,313.09411764705885,0.869082510471344,3,490
491,boar,312.9176470588235,6.185148239135742,4,491
492,back.,330.70238095238096,3.1877713203430176,5,492
493,The,411.6626506024096,0.9189621806144714,3,493
494,head,347.63529411764705,3.0145750045776367,4,494
495,was,357.94117647058823,1.6239091157913208,3,495
496,too,337.4,2.348289728164673,3,496
497,heavy,342.2470588235294,2.958568334579468,5,497
498,for,345.29411764705884,2.1800737380981445,3,498
499,the,315.8,0.7050951719284058,3,499
500,little,319.42857142857144,2.912571668624878,6,500
501,huntsman,346.3095238095238,5.914806365966797,8,501
502,to,338.4578313253012,1.923084735870361,2,502
503,carry,318.98809523809524,2.817083835601806,5,503
504,back,332.11764705882354,3.48789644241333,4,504
505,to,308.4117647058824,0.6768325567245483,2,505
506,the,312.3095238095238,0.8707906603813171,3,506
507,Manor,324.91764705882355,4.840811252593994,5,507
508,"House,",354.9529411764706,1.309515357017517,6,508
509,but,374.1190476190476,3.1037325859069824,3,509
510,the,341.43373493975906,1.0454761981964111,3,510
511,"huntsman,",327.85714285714283,6.3352131843566895,9,511
512,who,314.73809523809524,2.825427293777466,3,512
513,was,310.2771084337349,1.2724710702896118,3,513
514,as,328.42352941176466,2.25582242012024,2,514
515,quick-witted,331.8928571428572,6.3351898193359375,12,515
516,and,372.9166666666666,1.6883405447006226,3,516
517,cunning,349.11764705882354,4.9422712326049805,7,517
518,as,326.70238095238096,2.4264941215515137,2,518
519,"ever,",319.66265060240966,3.0156688690185547,5,519
520,asked,317.18823529411765,2.5667173862457275,5,520
521,"himself,",340.41666666666663,2.612335681915283,8,521
522,'What,319.8352941176471,3.695045709609986,5,522
523,else,327.25882352941176,2.255549192428589,4,523
524,can,323.1927710843373,1.5768582820892334,3,524
525,I,308.04761904761904,2.399055957794189,1,525
526,do,300.0470588235294,1.826865553855896,2,526
527,to,316.8235294117647,1.81411874294281,2,527
528,prove,348.2771084337349,3.060702085494995,5,528
529,I,300.7469879518072,3.228688716888428,1,529
530,killed,334.04761904761904,3.2925846576690674,6,530
531,the,306.0238095238095,1.4059696197509766,3,531
532,boar?',331.8928571428572,6.185148239135742,6,532
533,The,348.7647058823529,0.9189621806144714,3,533
534,next,334.77647058823527,2.518099069595337,4,534
535,instance,318.29411764705884,4.988590240478516,8,535
536,he,336.93023255813955,3.4348156452178955,2,536
537,opened,340.32941176470587,2.7820754051208496,6,537
538,the,345.8,0.515295684337616,3,538
539,boar's,343.2,6.3352131843566895,6,539
540,mouth,329.3529411764705,4.179690361022949,5,540
541,and,358.0833333333333,1.2121038436889648,3,541
542,cut,340.4,3.4908838272094727,3,542
543,out,356.23809523809524,1.531715989112854,3,543
544,its,327.47058823529414,2.5580391883850098,3,544
545,"tongue,",346.11764705882354,3.858774185180664,7,545
546,taking,389.4470588235294,4.210610866546631,6,546
547,that,368.0348837209302,2.5740303993225098,4,547
548,as,349.6046511627908,2.606200933456421,2,548
549,proof,338.8,3.869382619857788,5,549
550,for,311.43023255813955,2.5384464263916016,3,550
551,the,293.7093023255814,0.7050951719284058,3,551
552,Lord.,314.5952380952381,3.3468117713928223,5,552
553,He,307.5119047619048,1.2823857069015503,2,553
554,set,318.9764705882353,2.895524501800537,3,554
555,out,308.90588235294115,1.270698070526123,3,555
556,for,309.3690476190476,1.7765631675720217,3,556
557,the,315.45882352941175,0.7050951719284058,3,557
